Department,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned
IT,Male,45,Specialist,2,High School,5,6750,33,32,22,2,0,14,66,0,2.63,FALSE
Finance,Male,38,Developer,0,High School,5,7500,34,34,13,14,100,12,61,2,1.72,FALSE
Finance,Male,47,Specialist,8,High School,3,5850,37,27,6,3,50,10,1,0,3.17,FALSE
Customer Support,Female,51,Analyst,7,Bachelor,2,4800,52,10,28,12,100,10,0,1,1.86,FALSE
Engineering,Female,39,Analyst,3,Bachelor,2,4800,38,11,29,13,100,15,9,1,1.25,FALSE
IT,Male,52,Manager,8,High School,3,7800,46,31,8,0,100,15,95,0,2.77,FALSE
IT,Male,43,Technician,1,Bachelor,5,5250,55,20,29,2,0,16,27,0,4.46,FALSE
Engineering,Female,50,Engineer,9,Bachelor,2,7200,42,46,7,8,100,7,64,0,2.09,FALSE
Marketing,Female,52,Technician,1,High School,2,4200,51,23,21,14,0,1,0,1,1.44,FALSE
Engineering,Female,47,Consultant,7,Bachelor,1,6050,41,33,2,6,75,4,53,2,2.93,FALSE
Customer Support,Male,41,Engineer,4,Bachelor,3,7800,38,1,5,0,25,4,90,1,2.34,FALSE
Customer Support,Male,33,Technician,9,Bachelor,5,5250,39,13,2,13,25,5,88,0,1.96,FALSE
HR,Male,45,Technician,5,Bachelor,4,4900,31,11,16,1,75,7,17,2,2.13,FALSE
Engineering,Male,48,Analyst,9,Bachelor,4,5600,33,30,5,13,25,4,26,1,1.46,FALSE
Finance,Male,49,Analyst,1,Master,1,4400,33,49,13,1,100,13,37,1,2.22,FALSE
Customer Support,Male,35,Developer,1,High School,2,6000,33,41,9,13,50,3,46,1,2.42,FALSE
Operations,Male,33,Engineer,4,Bachelor,2,7200,43,26,29,12,0,6,76,2,3.15,FALSE
Sales,Other,29,Developer,1,High School,3,6500,47,36,6,12,75,12,54,0,1.19,FALSE
Customer Support,Other,56,Developer,8,Bachelor,1,5500,57,9,24,1,75,1,36,0,1.12,FALSE
Finance,Male,23,Technician,9,High School,2,4200,52,0,9,1,0,5,66,0,3.91,FALSE
Operations,Female,33,Manager,1,Bachelor,1,6600,33,28,13,13,50,15,53,2,3.7,FALSE
Sales,Male,59,Manager,7,Master,5,9000,30,22,9,2,25,4,20,0,4.66,FALSE
Finance,Male,26,Specialist,8,High School,4,6300,48,40,9,13,0,13,71,2,3.68,FALSE
Sales,Male,58,Consultant,6,Master,2,6600,55,2,28,8,25,6,78,2,4.26,FALSE
HR,Female,38,Analyst,6,Bachelor,2,4800,50,21,24,11,25,7,49,1,4.43,FALSE
Customer Support,Male,38,Specialist,2,Bachelor,5,6750,59,24,0,13,25,3,9,2,2.12,FALSE
Finance,Male,45,Engineer,3,Bachelor,2,7200,59,24,23,6,0,7,26,1,3.16,FALSE
Legal,Male,43,Manager,9,Master,3,7800,44,42,3,10,75,4,45,2,1.35,TRUE
Engineering,Male,53,Specialist,2,Bachelor,2,5400,31,34,14,6,50,6,42,1,4.52,FALSE
Finance,Male,52,Analyst,1,High School,3,5200,45,25,29,9,25,2,37,2,4.95,FALSE
Customer Support,Male,58,Consultant,6,Bachelor,1,6050,38,15,25,2,50,12,16,2,4.65,FALSE
Legal,Female,24,Manager,1,High School,4,8400,39,25,7,7,50,18,22,0,1.95,FALSE
Customer Support,Male,29,Analyst,0,High School,2,4800,48,49,16,14,50,17,37,0,4.43,FALSE
Sales,Female,25,Engineer,2,PhD,4,8400,44,26,24,8,75,18,37,2,2.1,FALSE
Marketing,Male,41,Analyst,5,Master,4,5600,34,13,0,10,75,14,36,1,1.94,FALSE
HR,Female,42,Engineer,4,Master,5,9000,31,9,18,11,100,8,21,1,4.21,FALSE
Sales,Male,43,Consultant,0,High School,2,6600,53,42,10,2,0,16,18,1,4.97,FALSE
Sales,Other,46,Consultant,9,Master,2,6600,31,6,15,7,0,2,48,0,2.47,FALSE
IT,Male,48,Specialist,2,Bachelor,1,4950,46,7,1,1,0,11,6,1,2.66,FALSE
HR,Female,58,Engineer,1,Bachelor,5,9000,44,2,2,8,100,14,85,1,4.22,FALSE
HR,Female,44,Analyst,3,Bachelor,2,4800,59,45,9,13,0,16,28,2,2.9,TRUE
Marketing,Male,29,Specialist,2,High School,4,6300,33,10,6,2,25,8,28,2,4.84,FALSE
Customer Support,Male,60,Engineer,8,Bachelor,3,7800,46,48,4,6,75,13,21,0,3.59,FALSE
Marketing,Female,43,Manager,3,High School,3,7800,43,25,2,3,0,7,85,0,3.32,FALSE
Customer Support,Female,46,Developer,3,Master,2,6000,58,7,29,3,25,12,4,1,2.53,FALSE
HR,Female,29,Specialist,8,High School,2,5400,31,19,11,6,75,7,90,1,1.59,FALSE
HR,Male,32,Technician,3,Bachelor,4,4900,41,19,26,1,75,5,21,2,1.27,FALSE
Operations,Male,31,Specialist,0,Bachelor,1,4950,45,31,20,2,75,15,82,2,4.84,FALSE
Legal,Male,40,Specialist,8,High School,5,6750,59,49,0,2,100,17,13,1,2.9,FALSE
Operations,Other,57,Developer,4,High School,2,6000,53,10,19,13,50,3,15,0,1.47,FALSE
Legal,Female,35,Consultant,4,Bachelor,1,6050,55,26,29,4,100,2,28,1,3.02,FALSE
HR,Male,40,Developer,7,Bachelor,2,6000,46,9,12,8,25,10,18,1,1.43,FALSE
Engineering,Male,28,Consultant,9,Bachelor,3,7150,38,34,4,3,0,5,12,0,2.56,FALSE
Engineering,Female,37,Technician,8,High School,2,4200,50,22,0,8,100,1,92,1,1.1,FALSE
Operations,Female,34,Technician,9,High School,5,5250,32,26,6,6,25,3,68,1,1.87,TRUE
Marketing,Female,34,Developer,2,Bachelor,3,6500,41,18,21,3,75,8,7,0,1.7,FALSE
Customer Support,Female,33,Specialist,8,PhD,1,4950,33,46,28,8,75,1,36,2,2.64,TRUE
Finance,Male,23,Developer,5,Bachelor,4,7000,32,42,8,12,0,3,27,2,3.97,FALSE
IT,Other,52,Technician,0,High School,3,4550,53,7,5,2,25,12,74,2,4.23,TRUE
Customer Support,Female,54,Manager,5,Bachelor,1,6600,51,17,19,8,50,5,99,1,3.02,FALSE
Operations,Female,34,Consultant,3,Bachelor,2,6600,40,17,14,4,50,6,20,1,2.32,FALSE
Engineering,Male,53,Specialist,7,High School,5,6750,43,44,0,13,75,16,75,2,2.15,FALSE
Sales,Male,27,Manager,6,Bachelor,3,7800,44,29,12,0,75,18,73,1,2.26,FALSE
Finance,Female,58,Manager,6,High School,4,8400,50,10,14,9,25,17,21,0,1.68,TRUE
Sales,Female,41,Specialist,5,Bachelor,1,4950,41,37,13,9,75,5,3,0,4.33,FALSE
Legal,Male,37,Technician,0,Bachelor,4,4900,54,32,4,3,25,2,12,1,2.13,FALSE
Sales,Male,49,Manager,7,Master,2,7200,55,30,19,0,75,19,93,0,4.26,FALSE
